school,district,city,enroll12,number_taker,reading,english,math,science
Dr. Richard A. Vladovic Harbor Teacher Preparation Academy,Los Angeles Unified,Los Angeles,118.0,24.0,25.0,25.0,23.0,22.0
Duarte High,Duarte Unified,Los Angeles,199.0,28.0,20.0,20.0,18.0,19.0
Dublin High,Dublin Unified,Alameda,622.0,216.0,28.0,28.0,28.0,27.0
Eagle Rock High,Los Angeles Unified,Los Angeles,420.0,38.0,25.0,25.0,23.0,23.0
Early College High,Newport-Mesa Unified,Orange,50.0,38.0,24.0,24.0,23.0,23.0
East Bakersfield High,Kern High,Kern,533.0,34.0,19.0,17.0,18.0,18.0
East Los Angeles Renaissance Academy at Esteban E. Torres High No. 2,Los Angeles Unified,Los Angeles,94.0,23.0,17.0,16.0,16.0,18.0
East Union High,Manteca Unified,San Joaquin,392.0,29.0,21.0,20.0,22.0,20.0
East Valley Senior High,Los Angeles Unified,Los Angeles,141.0,15.0,16.0,15.0,16.0,17.0
Eastlake High,Sweetwater Union High,San Diego,802.0,111.0,24.0,23.0,23.0,23.0
Eastside High,Antelope Valley Union High,Los Angeles,562.0,45.0,19.0,18.0,16.0,18.0
Edison High,Huntington Beach Union High,Orange,669.0,125.0,25.0,25.0,24.0,25.0
Edison High,Stockton Unified,San Joaquin,525.0,25.0,19.0,17.0,18.0,18.0
Edison High,Fresno Unified,Fresno,560.0,67.0,23.0,21.0,21.0,21.0
Ednovate - East College Prep,Los Angeles Unified,Los Angeles,79.0,85.0,19.0,19.0,18.0,19.0
Ednovate - USC Hybrid High College Prep,Los Angeles Unified,Los Angeles,131.0,148.0,20.0,20.0,20.0,20.0
Edward R. Roybal Learning Center,Los Angeles Unified,Los Angeles,233.0,20.0,18.0,17.0,18.0,19.0
Eisenhower Senior High,Rialto Unified,San Bernardino,524.0,63.0,18.0,16.0,18.0,18.0
El Cajon Valley High,Grossmont Union High,San Diego,553.0,94.0,19.0,18.0,20.0,20.0
El Camino Fundamental High,San Juan Unified,Sacramento,321.0,46.0,25.0,23.0,24.0,24.0
